"PROGRAM","SEASON","PREMIERE_DATE","GROUP","SUM_CIRCULATION_SCALED","UNIQUE_OUTLETS_SCALED","PER_POSITIVE_TONALITY_SCALED","RECENCY_W3_SCALED","PRESS_INDEX_GROUP_CLUSTER"
"BETTER CALL SAUL","1",2015-02-08,"5+ contribution groups",10,10,9.2,1,7.22
"DIETLAND","1",2018-06-04,"1-2 lowest groups",10,10,7.5,9.4,9.57
"FEAR THE WALKING DEAD","1",2015-08-23,"5+ contribution groups",6.7,4.8,3.5,3.9,5.16
"GEEKING OUT","1",2016-07-24,"5+ contribution groups",1.1,1.2,10,9.6,4.56
"HALT AND CATCH FIRE","1",2014-06-01,"3-4 lowest groups",1,7.5,1,8.5,4.55
"HUMANS","1",2015-06-28,"3-4 lowest groups",2.4,6.6,10,9.2,6.04
"INTO THE BADLANDS","1",2015-11-15,"5+ contribution groups",2.8,5.2,1,5.4,3.88
"LITTLE DRUMMER GIRL","1",2018-11-19,"1-2 lowest groups",4.4,3.1,10,1,3.68
"LODGE 49","1",2018-08-06,"3-4 lowest groups",10,5,9,8.7,8.51
"MCMAFIA","1",2018-02-26,"1-2 lowest groups",1,1,1.4,10,3.74
"NIGHT MANAGER, THE","1",2016-04-19,"1-2 lowest groups",4.9,8.1,6.3,9.5,7.06
"PREACHER","1",2016-05-22,"3-4 lowest groups",9.5,10,9,6.2,8.56
"SECRET HISTORY OF COMICS","1",2017-11-12,"5+ contribution groups",1,1,10,10,4.6
"SON, THE","1",2017-04-08,"1-2 lowest groups",3.1,3.5,1,9,4.74
"TERROR, THE","1",2018-03-25,"3-4 lowest groups",5.7,5.6,6.9,7.7,6.4
"TURN","1",2014-04-06,"3-4 lowest groups",2.6,7.3,9,1,3.7
"VISIONARIES: HISTORY OF HORROR","1",2018-10-14,"3-4 lowest groups",2,1,10,3.2,2.96
"VISIONARIES: HISTORY OF SCI-FI","1",2018-04-30,"3-4 lowest groups",9,4.2,10,10,8.44
"BETTER CALL SAUL","2",2016-02-15,"BCS+BADLANDS+PREMIERES TIER 1",9.1,10,1,1.4,6.16
"BETTER CALL SAUL","3",2017-04-10,"PREACHER+PREMIERES TIER 2",2.7,4.4,1,10,5.06
"BETTER CALL SAUL","4",2018-08-06,"PREACHER+PREMIERES TIER 2",5.6,6.1,1,6.1,5.39
"FEAR THE WALKING DEAD","2A",2016-04-10,"FEAR+BREAKING BAD",1.7,3.8,5.9,10,5.03
"FEAR THE WALKING DEAD","2B",2016-08-21,"FEAR+BREAKING BAD",1,1,1,1,1
"FEAR THE WALKING DEAD","3A",2017-06-04,"BCS+BADLANDS+PREMIERES TIER 1",10,2.8,3.7,6.4,6.85
"FEAR THE WALKING DEAD","3B",2017-09-10,"BCS+BADLANDS+PREMIERES TIER 1",9.5,4,8.2,4,6.62
"FEAR THE WALKING DEAD","4A",2018-04-15,"PREACHER+PREMIERES TIER 2",10,4.9,5.5,8,7.93
"FEAR THE WALKING DEAD","4B",2018-08-12,"BCS+BADLANDS+PREMIERES TIER 1",7.4,1,1.9,10,6.35
"HALT AND CATCH FIRE","2",2015-05-31,"PREMIERES TIER 4 & RETURNING TIER 2",6.6,7.2,9.7,1,5.35
"HALT AND CATCH FIRE","3",2016-08-21,"PREMIERES TIER 4 & RETURNING TIER 2",1,1,1,10,3.7
"HALT AND CATCH FIRE","4",2017-08-19,"PREMIERES TIER 4 & RETURNING TIER 2",10,7,10,6.6,8.38
"HELL ON WHEELS","4",2014-08-02,"BCS+BADLANDS+PREMIERES TIER 1",1.5,6.3,10,8,5.26
"HELL ON WHEELS","5A",2015-07-18,"BCS+BADLANDS+PREMIERES TIER 1",1,3.5,4.6,1,1.86
"HUMANS","2",2017-02-13,"RETURNING TIER 3",10,10,10,10,10
"HUMANS","3",2018-06-05,"PREACHER+PREMIERES TIER 2",1.3,1.8,7,3.8,2.72
"INTO THE BADLANDS","2",2017-03-19,"PREACHER+PREMIERES TIER 2",1.7,2.6,10,4.7,3.61
"INTO THE BADLANDS","3",2018-04-22,"PREMIERES TIER 3 & RETURNING TIER 1",6.2,4.6,10,1,4.7
"MAD MEN","7A",2014-04-13,"PREACHER+PREMIERES TIER 2",1.8,7.7,10,1,3.56
"MAD MEN","7B",2015-04-05,"PREACHER+PREMIERES TIER 2",6,10,10,3.8,6.54
"PREACHER","2",2017-06-25,"PREMIERES TIER 3 & RETURNING TIER 1",7.3,8.1,2.8,4,6.02
"PREACHER","3",2018-06-24,"PREMIERES TIER 3 & RETURNING TIER 1",10,10,1,10,9.1
"RIDE WITH NORMAN REEDUS","2",2017-11-05,"PREACHER+PREMIERES TIER 2",1,1,10,7.8,3.94
"TURN","2",2015-04-13,"PREMIERES TIER 4 & RETURNING TIER 2",6,8.8,10,7.2,7.32
"TURN","3",2016-04-25,"PREMIERES TIER 4 & RETURNING TIER 2",7,10,8,7.5,7.85
"TURN","4",2017-06-17,"PREMIERES TIER 3 & RETURNING TIER 1",1,1,8.2,8.2,3.88
"WALKING DEAD","4A",2013-10-13,"WALKING DEAD TIER 1",1.5,2,10,1.2,2.36
"WALKING DEAD","4B",2014-02-09,"WALKING DEAD TIER 1",1,1.3,3.3,4.2,2.25
"WALKING DEAD","5A",2014-10-12,"WALKING DEAD TIER 1",7.8,10,1,3.5,6.27
"WALKING DEAD","5B",2015-02-08,"WALKING DEAD TIER 1",7,8.2,1,5.5,6.19
"WALKING DEAD","6A",2015-10-11,"WALKING DEAD TIER 1",3.8,1,10,1,3.02
"WALKING DEAD","6B",2016-02-14,"WALKING DEAD TIER 1",1.7,1.5,4.8,10,4.46
"WALKING DEAD","7A",2016-10-23,"WALKING DEAD TIER 1",10,2,4.8,4.6,6.26
"WALKING DEAD","7B",2017-02-12,"WALKING DEAD TIER 2",1,1,1,10,3.7
"WALKING DEAD","8A",2017-10-22,"WALKING DEAD TIER 2",10,10,10,1,7.3
"WALKING DEAD","8B",2018-02-25,"WALKING DEAD TIER 2",4.4,4.8,5.5,5.5,4.92
"WALKING DEAD","9A",2018-10-07,"FEAR+BREAKING BAD",10,10,10,1,7.3
